"('diapers', 0.011430031079372429)"
"('makes dirty diaper', 0.0031996776985850476)"
"('handle', 0.0031883166991982523)"
"('reason genie', 0.0031799358177794774)"
"('first months', 0.003173833335753368)"
"('diaper changing process', 0.0031604432564111312)"
"('area smell free', 0.00315138813783641)"
"('diaper wipes get stuck', 0.0031512507928306427)"
"('stinky diaper smells well', 0.0031484575262626458)"
"('empty bags inside', 0.0031431997798249903)"
"('stinky lemon smell', 0.0031418007459264783)"
"('simple waste pail', 0.0031414363991781225)"
"('smell like roses', 0.0031323767520413785)"
"('room trash', 0.003131778550789642)"
"('weeks time', 0.0031311035615651695)"
"('still smell poo', 0.0031273287099636087)"
"('odor inside gets', 0.003122912880849172)"
"('smell starts getting', 0.003117484910596794)"
"('glad trash bags', 0.003117050371694996)"
"('change baby', 0.003115595209180873)"
"('still smell like', 0.003112382716855294)"
"('super stinky diaper', 0.0031074119245299227)"
"('good oderless pail', 0.0031059378596676687)"
"('neat diaper disposal', 0.003101154380178172)"
"('stinky diaper pails', 0.0030995204008574303)"
"('got diaper gennie', 0.0030989960339136142)"
"('baby wipes', 0.0030983836037648347)"
"('diaper pails require', 0.00309529252107508)"
"('baby gift', 0.0030910539582768813)"
"('trash bags instead', 0.0030886584724403297)"
"('product seems like', 0.0030868201567696035)"
"('baby wipe', 0.0030731549676299287)"
"('good trash bags', 0.003072526718716598)"
"('one hand diaper disposal', 0.00306809259957203)"
"('everyday trash bags', 0.003065258597924466)"
"('gallon trash bags', 0.0030555521389124952)"
"('replace trash bags', 0.0030536145504833807)"
"('months anyway', 0.0030456442964349787)"
"('floor smells like dirty diapers', 0.0030450557662360365)"
"('bulk garbage bag liners', 0.0030419168783895893)"
"('day kitchen trash bags', 0.003040926386059445)"
"('bags saves big time', 0.0030171645051284635)"
"('genie upstairs', 0.0030105711611475316)"
"('months apart', 0.003009371513134641)"
"('hold stinky diapers forever', 0.003003401265434288)"
"('first baby', 0.0030017175344285527)"
"('genie anyway', 0.0029989891105787086)"
"('one baby', 0.002998095059693714)"
"('keeps baby', 0.002997755282701464)"
"('odor problems must', 0.0029950084217733653)"
"('plain plastic garbage bag', 0.002981441426001519)"
"('odor free home', 0.002980238835460969)"
"('couple months', 0.002970306396237598)"
"('use glad odor', 0.0029672469882033596)"
"('keep room odor free', 0.002963592908725296)"
"('genie broke', 0.002962476151747189)"
"('odors inside', 0.0029574874072311763)"
"('baby registry', 0.0029552377508306775)"
"('smells problem', 0.0029530585405858818)"
"('use garbage bags', 0.0029527009902900222)"
"('half months', 0.002938164387529737)"
"('genie cartridges', 0.002937254991184547)"
"('daughter years', 0.0029353837491368365)"
"('odor seal seems', 0.0029254599270177903)"
"('change bags twice', 0.0029199699396135815)"
"('baby bedroom', 0.0029179345407539547)"
"('fact', 0.002885300927258502)"
"('product gets great reviews', 0.002872480818252595)"
"('baby products', 0.002869681202582213)"
"('first time', 0.002868849642593534)"
"('takes months', 0.002867278507578666)"
"('one time', 0.0028652271678586954)"
"('time one', 0.0028652271678586954)"
"('genie instead', 0.002859462443491951)"
"('baby stuff', 0.0028549743104174514)"
"('months back', 0.0028490632450875776)"
"('months older', 0.0028485487376412994)"
"('refill bags plus', 0.002843991543514298)"
"('use kitchen bags', 0.002840095212149081)"
"('baby items', 0.0028181755141824623)"
"('baby boy', 0.0028173535457656777)"
"('pail still works fine', 0.002814519585246507)"
"('kitchen garbage bags', 0.00281395143175742)"
"('baby uses', 0.0028026837001998146)"
"('time mom', 0.0028023090892949727)"
"('genie needs', 0.0027915302734044718)"
"('genie gives', 0.0027910807825654482)"
"('great odor control', 0.0027881243439784632)"
"('baby shower', 0.0027878379662355187)"
"('baby gifts', 0.002784464286447092)"
"('husband', 0.0027819986666885715)"
"('baby alot', 0.002781244625879354)"
"('thought baby', 0.002776208255735945)"
"('thing works', 0.0027753541391448474)"
"('baby nose', 0.0027541426195434)"
"('room stink', 0.0027540021132741554)"
"('hold baby', 0.002741876408415978)"
"('odors easy', 0.002738729664576856)"
"('uses garbage bags', 0.002729891557985474)"
"('lysol', 0.002729484765941272)"
"('first thing', 0.002728780433666774)"
"('one thing', 0.0027251579589319353)"
"('plunger thing', 0.0027243570560732556)"
"('putting baby', 0.0027230120805072228)"
"('baby putting', 0.0027230120805072228)"
"('babies room', 0.002723010924256589)"
"('baby gets', 0.0027219828726891267)"
"('got baby', 0.0027199692498071346)"
"('baby got', 0.0027199692498071346)"
"('baby go', 0.002719783616954716)"
"('kitchen bags work', 0.0027179141417072385)"
"('time parents', 0.002716217751590281)"
"('baby girl', 0.0027158463961933026)"
"('baby poops', 0.002711780916665801)"
"('oust odor spray', 0.002710819578638222)"
"('baby take', 0.0027060400314577924)"
"('kitchen size bags', 0.0027000806659492633)"
"('baby ca', 0.0026995732561862795)"
"('gallon trash bags inside', 0.0026978130564707724)"
"('refill bags get', 0.002685452842493866)"
"('thanks baby', 0.002684225779252952)"
"('garbage bags instead', 0.002684103643201202)"
"('baby like', 0.002680948518546663)"
"('like baby', 0.002680948518546663)"
"('baby stores', 0.0026788854389214957)"
"('replacement bags cost', 0.0026783364486014237)"
"('big baby', 0.002677711629965715)"
"('cheap kitchen bags', 0.002677659449227092)"
"('tie garbage bags', 0.0026775876566031633)"
"('twisting thing', 0.0026769644956471305)"
"('older baby', 0.0026764329363164843)"
"('twice week', 0.0026752937676217258)"
"('baby food', 0.0026737902164380403)"
"('baby starts', 0.0026713431916824543)"
"('need refill bags', 0.002670492620917706)"
"('use plastic bags', 0.0026679977468390954)"
"('tiny baby', 0.0026672032054440792)"
"('mom thing', 0.0026622398803682126)"
"('one diaper disposal system', 0.002662011392235158)"
"('buy refill bags', 0.002651894606752076)"
"('gallon garbage bags', 0.002650997309673367)"
"('replace garbage bags', 0.0026490597212442523)"
"('plastic garbage bags', 0.0026418539664474342)"
"('ruffies garbage bags', 0.0026402158678540603)"
"('waste time', 0.0026368171395084947)"
"('toddler room', 0.002634677821660379)"
"('odors well', 0.0026264894041889654)"
"('refills cost money', 0.002621451600941944)"
"('help keep odor', 0.0026205448250103875)"
"('son home', 0.0026199179773680435)"
"('seal odors', 0.002619687221909291)"
"('first week', 0.00260712306052003)"
"('one week', 0.0026035005857851915)"
"('glad kitchen bags', 0.002599889764314927)"
"('use glad trash bags', 0.0025998839094651493)"
"('one good dirty diaper', 0.0025982658730765895)"
"('changing time', 0.002596847549973305)"
"('takes garage bags', 0.002586256433219898)"
"('diaper wipes getting caught', 0.0025858998555776964)"
"('kitchen trash bags work', 0.0025843400236099314)"
"('week ok', 0.002581981612967378)"
"('get good bags', 0.0025784878008506466)"
"('dirty thing', 0.002578403637820255)"
"('great diaper disposal system', 0.00256543608711416)"
"('buy replacement bags', 0.0025644540676023064)"
"('thing apart', 0.002564318611048047)"
"('oder control bags', 0.002563508560986571)"
"('time getting', 0.002557524589653018)"
"('cheap kitchen trash bags', 0.0025541490042498218)"
"('time opening', 0.002553225729468045)"
"('saves time', 0.002549440334313129)"
"('weight thing', 0.0025493835292483987)"
"('much time', 0.0025492215622155948)"
"('use plastic trash bags', 0.0025469027274588243)"
"('convenient time', 0.0025453842963265257)"
"('nice thing', 0.002543619224073919)"
"('dirty diapers leaving one hand free', 0.0025420551268181177)"
"('smells', 0.0025420360671282887)"
"('time disposing', 0.0025410528650731926)"
"('gallon kitchen bags', 0.002538391531532426)"
"('purchase bags like', 0.002533654736741735)"
"('us time', 0.0025321325758723245)"
"('great thing', 0.0025320073486899395)"
"('keeps odors', 0.002530239198091007)"
"('diaper disposal system instead', 0.002529964776400004)"
"('plastic kitchen bags', 0.0025292481883064937)"
"('first poopy diaper went', 0.002528436747454498)"
"('room garbage', 0.0025249463069309504)"
"('everyday cheap bags', 0.0025244117861550094)"
"('takes one poopy diaper', 0.0025235813040376167)"
"('trash bags work great', 0.0025224254929069236)"
"('diaper disposal system makes', 0.0025120530981818426)"
"('bags everyday anyway', 0.0025112679800460163)"
"('way anyone', 0.0025099913220440577)"
"('day', 0.0025081867612481365)"
"('cheap plastic bags', 0.002505561983917107)"
"('genie one bit', 0.002505096405742915)"
"('neat diaper disposal system', 0.0025045980547742934)"
"('kitchen trash bags instead', 0.002474527816124698)"
"('glad tie bags', 0.0024635259891606703)"
"('nursery smells', 0.0024490204344341264)"
"('thing got', 0.002447032149045356)"
"('thing stinks', 0.0024436828573959173)"
"('thing right', 0.00244188496675934)"
"('bought cheap trash bags', 0.0024389170848394676)"
"('good thing', 0.0024368670966760297)"
"('diaper tabs getting caught', 0.0024348488071958855)"
"('week worth', 0.002428871029421448)"
"('room one', 0.002425359188555519)"
"('stinky thing', 0.002408957091691491)"
"('thing like', 0.002408011417784884)"
"('let odors', 0.0024072613163982604)"
"('handle inside', 0.002406456254171928)"
"('big thing', 0.0024047745292039365)"
"('thing back', 0.0024040103430009838)"
"('plastic thing', 0.0023976902121309765)"
"('control odors', 0.0023723430251625225)"
"('first son', 0.0023616838090036335)"
"('bags saves us', 0.0023611867683764947)"
"('room floor', 0.002359697475879336)"
"('years', 0.0023565823788243797)"
"('nursery', 0.0023560048017399636)"
"('holds odors', 0.00235280851144363)"
"('trash day', 0.002345902215283074)"
"('hand', 0.002339253907910146)"
"('gallon trash bags makes', 0.002334400546343497)"
"('week take', 0.00231144555754927)"
"('toddler refills', 0.002307472043228052)"
"('room anyway', 0.0023007926239719686)"
"('baby wipes get', 0.002299422707749942)"
"('thing gets stuck', 0.0022931402473242895)"
"('daughters room smells', 0.002291349021534736)"
"('year', 0.0022798919562189396)"
"('bottom', 0.0022785523862624015)"
"('easy problem', 0.002275580668940219)"
"('hold odors', 0.0022743603238055206)"
"('odors escape', 0.002269236002029171)"
"('kitchen size garbage bags', 0.002267548794862104)"
"('son helps', 0.002266570567247917)"
"('use plain garbage bags', 0.002256673112600319)"
"('seals odors', 0.002254537424967869)"
"('room still smells', 0.0022476106842916842)"
"('baby starts solids', 0.0022458705975263284)"
"('newborn son', 0.0022417895234470918)"
"('let one stinky odor', 0.0022397220113149338)"
"('first couple months', 0.002239545562264879)"
"('keeps odors inside', 0.002228358068442539)"
"('days', 0.0022280280908243944)"
"('family room', 0.0022259008190290753)"
"('like baby poop', 0.0022258516721007323)"
"('anything', 0.0022207004897328796)"
"('odors in.i', 0.002218891376885101)"
"('containing odors', 0.002218492597057869)"
"('change refills', 0.002215653559610351)"
"('church nursery room', 0.0022151382836331107)"
"('stinky odors', 0.0022143781078428123)"
"('kitchen size garage bags', 0.0022135829482609042)"
"('keep odors', 0.002209293466311007)"
"('keeping odors', 0.002207304286658688)"
"('trash days', 0.0022058228800712026)"
"('uses kitchen garbage bags', 0.0022054526302835564)"
"('odors leak', 0.0022005011422635765)"
"('controls odors', 0.002197638227767036)"
"('use kitchen bags instead', 0.002190719529489098)"
"('flip handle', 0.0021882384466438928)"
"('easy handle', 0.0021876985115176074)"
"('loose room', 0.002185462188361657)"
"('house', 0.0021850465842461362)"
"('trash', 0.002183617669318011)"
"('baby shower gift', 0.0021774575581623786)"
"('daughters room', 0.0021660054987379597)"
"('something', 0.0021655715446138356)"
"('item', 0.0021632320269735304)"
"('sons room', 0.0021618367207053785)"
"('room instead', 0.002161265956885211)"
"('boys room', 0.002159813908933508)"
"('neat diaper disposal system first', 0.0021592832226833233)"
"('changing room', 0.0021569795706701286)"
"('room gets', 0.0021492470015509317)"
"('gallon kitchen garbage bags', 0.002146281944049476)"
"('kitchen trash bags work great', 0.0021443675637610993)"
"('room stinks', 0.002143884087019501)"
"('month', 0.002139778495991597)"
"('buy bulk garbage bags', 0.002131876353543026)"
"('first time mom', 0.002127547357636462)"
"('first time mother', 0.0021256365935627183)"
"('velcro diaper tabs get caught', 0.0021227012622194036)"
"('one way', 0.0021207735161985677)"
"('room stunk', 0.0021180315819037277)"
"('money buying', 0.0021163738905993212)"
"('stinky room', 0.0021091583213150747)"
"('oderless room', 0.002106749174965309)"
"('room still', 0.0021003979928733815)"
"('childs room', 0.0021000484153299477)"
"('smells inside', 0.0020833159381369462)"
"('buying refills', 0.0020809610403290935)"
"('son got', 0.0020799355243822154)"
"('great baby purchase', 0.002078200660026383)"
"('handle well', 0.002075458251129717)"
"('something stuck', 0.002073450371366004)"
"('first time parents', 0.002070153132500001)"
"('one problem', 0.0020674299794466197)"
"('son loves', 0.002066497791051986)"
"('reviews', 0.002064712450041085)"
"('get refills', 0.0020635143955583884)"
"('son went', 0.002061217392927855)"
"('son makes', 0.0020581447461621633)"
"('nursery smells fine', 0.0020580113033658314)"
"('handle twice', 0.0020513410038605425)"
"('baby registry instead', 0.0020510226610568343)"
"('older son', 0.002036399210891565)"
"('son soils', 0.0020332348918435566)"
"('newborn daughter', 0.002026210221327826)"
"('purchase refills', 0.0020251204782861664)"
"('youngest son', 0.0020241893903011924)"
"('get baby back', 0.0020184652677485604)"
"('quot', 0.0020159601801014344)"
"('buy refills', 0.0020131770419457027)"
"('keeping odors inside', 0.0020130681274876596)"
"('first time parent', 0.0020123004675514995)"
"('one time investment', 0.002007227335273574)"
"('refills cheap', 0.0019933025547031313)"
"('handle design', 0.0019920531438700657)"
"('baby products go', 0.001984506154845398)"
"('hand inside', 0.0019819248585278746)"
"('stuck', 0.0019813291981181725)"
"('thing works great', 0.0019783953342184892)"
"('way odorless', 0.0019781853519387073)"
"('baby shower gifts', 0.001973064443609186)"
"('time someone got', 0.0019580475479108964)"
"('handle system', 0.0019516228888804548)"
"('liner refills', 0.0019513745017623453)"
"('use cheap costco garbage bags', 0.0019422378852975188)"
"('use plain kitchen garbage bags', 0.0019317656595158159)"
"('poop smells', 0.00192884702316858)"
"('genie went back', 0.0019273023935434997)"
"('middle daughter', 0.0019237979967422522)"
"('genie sounds like', 0.0019224454234056455)"
"('baby waste gets', 0.001919308211175872)"
"('waste money', 0.0019051562320432194)"
"('baby shower registery', 0.0018977436470330393)"
"('friends house', 0.0018976405827499363)"
"('something inside', 0.0018950836768797195)"
"('perfect way', 0.0018924406248758718)"
"('side handle', 0.0018897577229804322)"
"('use lysol', 0.0018889346443584404)"
"('save money', 0.001888450072432117)"
"('gives baby waste', 0.0018817330741143898)"
"('one good thing', 0.001881504379400608)"
"('room stink like', 0.001881496696367991)"
"('oder problem', 0.001880267192750531)"
"('daughter gets', 0.0018663698451449413)"
"('hold way', 0.0018645548649208316)"
"('baby gets older', 0.0018571401478245193)"
"('baby got older', 0.001855797732569858)"
"('easy flip handle', 0.001854519072374916)"
"('getting baby poo', 0.0018540362682855603)"
"('daughter loves', 0.0018509184889327198)"
"('lysol wipes', 0.0018504203994666388)"
"('older baby poops', 0.0018503388438089689)"
"('daughter ca', 0.0018439602286420944)"
"('right way', 0.0018375005240259723)"
"('spending money', 0.0018317708411828783)"
"('money getting', 0.0018258636821877425)"
"('lysol etc', 0.0018204751199267404)"
"('handle apart', 0.00181870847414012)"
"('handle broke', 0.0018184682986089379)"
"('saves money', 0.0018177794268478533)"
"('much money', 0.0018175606547503192)"
"('voila problem', 0.0018101717103113108)"
"('spend money', 0.0018092826641961924)"
"('hand store', 0.0018082880205835513)"
"('house stink', 0.0018065556892665866)"
"('neat way', 0.0018059468412768378)"
"('stuck inside', 0.001802962503631888)"
"('us money', 0.001800471668407049)"
"('getting refills', 0.0017904508319175148)"
"('wrong way', 0.001787749756308032)"
"('box smells', 0.001787677936740926)"
"('refills saves', 0.0017823665765776256)"
"('refills like', 0.0017810068689761412)"
"('require refills', 0.0017756107232092223)"
"('problem getting', 0.0017597274012409422)"
"('smells well', 0.001752317935094735)"
"('stinky problem', 0.001751229112206175)"
"('throw loose baby wipes', 0.0017485658235963655)"
"('big problem', 0.0017470465497186204)"
"('problem starts', 0.0017406781114353595)"
"('garbage day', 0.0017390699714243815)"
"('room still smells good', 0.0017342573183032513)"
"('great baby shower gift', 0.0017292125997132271)"
"('uses everyday garbage bags instead', 0.0017209320026854251)"
"('hand use', 0.0016938192153428773)"
"('easy trash', 0.001685348996577487)"
"('handle ca', 0.0016810260185165739)"
"('handle makes', 0.001679631233917377)"
"('nursery smells like', 0.0016781755771413049)"
"('something easy', 0.001676325934225399)"
"('convenient handle', 0.0016597049504918388)"
"('handle back', 0.0016584002060930567)"
"('keeps smells', 0.0016560677289967768)"
"('plastic handle', 0.0016520800752230496)"
"('first day', 0.001643105327783789)"
"('try anything', 0.001639712301677193)"
"('one day', 0.0016394828530489505)"
"('day one', 0.0016394828530489505)"
"('yes', 0.0016370004701938188)"
"('use anything', 0.0016345425062542442)"
"('inside', 0.0016245958091456035)"
"('smells get', 0.0016217684914242227)"
"('use trash', 0.0016160010960468098)"
"('try something', 0.001612147829117671)"
"('friends', 0.0016102345812537364)"
"('well poop smells', 0.0016067646164661137)"
"('garbage days', 0.0015989906362125104)"
"('stuck part', 0.0015967841578143176)"
"('spray lysol inside', 0.001592506621545106)"
"('house garbage', 0.0015774998829233813)"
"('spray lysol', 0.0015764620277448572)"
"('lysol spray', 0.0015764620277448572)"
"('everything smells', 0.0015666315436693216)"
"('keeps nursery', 0.001563052096302614)"
"('one hand', 0.0015550164263799552)"
"('husband thought', 0.0015545020018113988)"
"('anyone', 0.0015492145565407442)"
"('recommend lysol', 0.001544220925057225)"
"('first year', 0.0015289579252691908)"
"('first day home', 0.0015269009622052795)"
"('stink inside', 0.0015263303017163201)"
"('one year', 0.001525335450534352)"
"('lysol everytime', 0.0015246861312059308)"
"('day anyway', 0.0015149162884653998)"
"('sons room stinks', 0.001510500727729495)"
"('money buying refils', 0.001509581798310668)"
"('simple fact', 0.0015027968978238988)"
"('stars', 0.001501954495734753)"
"('control older baby poops', 0.0015013308941088006)"
"('room still seems', 0.0015008640219123254)"
"('baby shower list regardless', 0.0014931804180163407)"
"('husband loves', 0.001484825262552359)"
"('clorox lysol', 0.0014801411437091912)"
"('course something', 0.0014779169029917024)"
"('wipes stuck', 0.001476342615555089)"
"('husband takes', 0.0014734564523293048)"
"('bathroom smells', 0.001471994143541453)"
"('room still stinks', 0.001469541575841497)"
"('one item', 0.0014670054859116475)"
"('smells great', 0.0014632568957470304)"
"('get anything', 0.0014611007027265182)"
"('first month', 0.0014589011951555192)"
"('much money buying', 0.001457171838254068)"
"('one month', 0.0014552787204206807)"
"('helps save money', 0.0014548991852240808)"
"('buying something', 0.001450982874937701)"
"('nursery upstairs', 0.0014504073592801366)"
"('twisting anything', 0.0014475462540065173)"
"('hands inside', 0.0014448547908279805)"
"('husband needs', 0.0014443634040113805)"
"('child', 0.0014389565133219)"
"('need anything', 0.0014386603703622782)"
"('sons room smells like pee', 0.001438153180334608)"
"('get stuck inside', 0.001435808640994644)"
"('get something', 0.0014335362301669962)"
"('like lysol', 0.0014329853142484672)"
"('buying refills like', 0.0014328026477379496)"
"('easy one hand', 0.0014323710588656242)"
"('keep lysol', 0.0014288463466232682)"
"('stink', 0.0014280647942870367)"
"('keeping lysol', 0.0014268571669709491)"
"('son still loves', 0.0014179507118631538)"
"('need something', 0.0014110958978027562)"
"('buy anything', 0.0014107633491138322)"
"('people', 0.0014081870407392416)"
"('kitchen trash', 0.001407876758247907)"
"('half day', 0.0014074363795601582)"
"('day care', 0.0014023486047251657)"
"('stink things', 0.0013986635997992806)"
"('solids', 0.0013949254092140765)"
"('stink problems', 0.0013903898774891882)"
"('one hand use', 0.0013861391251785062)"
"('use one hand', 0.0013861391251785062)"
"('inside lid', 0.0013854723680168074)"
"('buy something', 0.0013831988765543102)"
"('things', 0.0013692624053115246)"
"('babies', 0.0013660824162519036)"
"('throw anything', 0.0013636058160633163)"
"('problem gets worse', 0.0013570627885143513)"
"('friend', 0.0013568762505882018)"
"('problems', 0.0013527149606913397)"
"('trash anyway', 0.001352631742500337)"
"('anything dirty', 0.0013489853961796414)"
"('smells getting', 0.0013487049277833491)"
"('containing smells', 0.0013443211279636387)"
"('smells till', 0.0013422093238290992)"
"('nasty smells', 0.0013420846521832463)"
"('get stuck', 0.0013414150569191646)"
"('lysol wipes everytime', 0.0013402427651346225)"
"('stinky smells', 0.001340206638748582)"
"('smells like', 0.0013392609648419755)"
"('keep smells', 0.0013351219972167765)"
"('keeping smells', 0.0013331328175644574)"
"('half years', 0.0013316341883482798)"
"('still smells', 0.0013314463103068887)"
"('smells like poop', 0.0013313933029642743)"
"('parents house', 0.0013289033482795354)"
"('nothing', 0.0013262413331977052)"
"('days worth', 0.0013247739614733356)"
"('bottom line', 0.0013210526052453914)"
"('reading reviews', 0.0013171042975615584)"
"('poop', 0.0013156579792088711)"
"('waste money like', 0.0013155994422140336)"
"('notice anything', 0.0013141246758937523)"
"('daughters nursery', 0.0013040381834773045)"
"('weeks', 0.0013025317322627123)"
"('hand operation', 0.001301977267424888)"
"('sons nursery', 0.0012998694054447233)"
"('couple days', 0.001299499053056148)"
"('wipes inside', 0.0012979759210688044)"
"('stick trash', 0.0012953250818695146)"
"('nursery changing', 0.0012950122554094734)"
"('home', 0.0012944922310482612)"
"('saves money instead', 0.0012927171117349519)"
"('daughter gets older', 0.0012867314627950626)"
"('daughter got older', 0.0012853890475404011)"
"('church nursery', 0.0012827377093190288)"
"('store', 0.0012773221332569567)"
"('fine', 0.0012759930412292414)"
"('great item', 0.0012738548756696512)"
"('got stuck inside', 0.0012734841107801271)"
"('daughter went back', 0.0012732532982016795)"
"('wipe inside', 0.0012727472849338986)"
"('right hand', 0.0012717434342073596)"
"('bit', 0.0012681778669042265)"
"('kids', 0.0012679246359326877)"
"('pain', 0.0012674368302398528)"
"('first son got older', 0.0012663374102947942)"
"('hands', 0.0012651137725103573)"
"('unit', 0.0012602651200354382)"
"('one simple fact', 0.0012587909134991874)"
"('nursery door', 0.001258481068426787)"
"('believe anything', 0.0012576235653386455)"
"('star item', 0.001256945948901248)"
"('glad trash', 0.001255692924295579)"
"('need one hand', 0.0012555510345838624)"
"('toddler poop', 0.0012525370951341776)"
"('trash everytime', 0.0012517525828943002)"
"('expense like refills', 0.0012485725316925581)"
"('trash bin', 0.001247527861260991)"
"('saves us money', 0.0012467162048575764)"
"('anything thats', 0.0012463300967469725)"
"('hand like', 0.001237869885232904)"
"('outside trash', 0.001236168768835525)"
"('trash outside', 0.001236168768835525)"
"('tiny nursery', 0.001232500019045229)"
"('hand free', 0.0012299449603417347)"
"('free hand', 0.0012299449603417347)"
"('great reviews', 0.0012245950872034285)"
"('hole inside', 0.0012241190144600266)"
"('house hold', 0.0012216941132702141)"
"('reading others reviews', 0.0012186101661542834)"
"('wipes get stuck', 0.0012180620489434448)"
"('couple reviews', 0.0012178412326644935)"
"('think anything', 0.0012171703881839573)"
"('trash instead', 0.0012131050754135798)"
"('part', 0.0012122391175104629)"
"('star reviews', 0.0012076861604350252)"
"('anything good', 0.0012074488550354162)"
"('foam inside', 0.0012032277902091582)"
"('secure trash', 0.001198957370190843)"
"('online reviews', 0.0011968006599186066)"
"('things others', 0.001195442154325629)"
"('stink well', 0.001195332298674109)"
"('trash right', 0.0011939253149112921)"
"('got something', 0.0011900494348452205)"
"('toddler', 0.0011894162110594841)"
"('good trash', 0.0011889074448279819)"
"('flip', 0.0011881601940895332)"
"('easy', 0.0011870803238369628)"
"('grandparents house', 0.0011856301697882122)"
"('something right', 0.0011849022525592045)"
"('like anything', 0.001178593176144271)"
"('plus', 0.001177117018781451)"
"('makes something', 0.0011682586566251687)"
"('doubt anything', 0.0011675748256964162)"
"('gallon trash', 0.001163445575121827)"
"('getting something', 0.0011604726665261226)"
"('trash like', 0.0011600517659368366)"
"('convenient trash', 0.001157355435551718)"
"('big trash', 0.0011568148773558884)"
"('simple trash', 0.0011519552688536534)"
"('find something', 0.0011511338587170048)"
"('something like', 0.001151028703584749)"
"('plastic trash', 0.0011497305602829288)"
"('friends registry', 0.0011476494541887137)"
"('lid', 0.0011463489268880112)"
"('trash bucket', 0.0011437982191002537)"
"('dirty wipes stuck', 0.001143318511245527)"
"('still something', 0.0011432140490496624)"
"('easy one hand operation', 0.0011404534508841256)"
"('within one day', 0.001137829888355961)"
"('something wrong', 0.0011351514848412642)"
"('good reviews', 0.001129454835189519)"
"('us one day', 0.0011278518223249744)"
"('month girls', 0.0011256742862534315)"
"('one hand operation', 0.0011249111598998468)"
"('toys inside', 0.0011200793998958475)"
"('love', 0.0011171046311351132)"
"('love love love', 0.0011171046311351132)"
"('lid gets stuck', 0.0011154108986155908)"
"('kids well', 0.0011152622194969346)"
"('first child', 0.001108490203820671)"
"('one child', 0.0011048677290858323)"
"('gets stuck', 0.001099941884479381)"
"('nothing works', 0.0010987063192366467)"
"('one hand toss', 0.0010985262362776585)"
"('got stuck', 0.001097928261597389)"
"('takes one hand', 0.0010916490302433162)"
"('read reviews', 0.0010862276149674775)"
"('times', 0.0010845136449538586)"
"('reviews rate', 0.001084312697599433)"
"('keep one hand', 0.0010794135933550582)"
"('great registry item', 0.0010775913594876644)"
"('trash kitchen liners', 0.0010750424997480962)"
"('works fine', 0.0010735821732524148)"
"('helps anyone', 0.0010685059836743763)"
"('getting stuck', 0.001068351493278291)"
"('hands works', 0.0010681425388929728)"
"('stink get', 0.0010647828550035966)"
"('one friend', 0.001063827597718983)"
"('lysol takes care', 0.001063636484037835)"
"('try', 0.0010587241136215063)"
"('stuck back', 0.0010549064555530167)"
"('people get', 0.001054843978229699)"
"('flip twice', 0.001051262751306183)"
"('simple stuck', 0.001050811033253734)"
"('plus wipe', 0.0010490078897518224)"
"('use', 0.0010483845227756087)"
"('kind friends', 0.0010405599602104308)"
"('flip mechanism', 0.001039296520241299)"
"('things get', 0.0010353816605158405)"
"('mess', 0.001034198054094072)"
"('box', 0.0010333198063535633)"
"('mechanism gets stuck', 0.0010301055384506087)"
"('still smells like poop', 0.0010287591155945777)"
"('weeks garage', 0.0010283107637292692)"
"('dirty wipes inside', 0.001024407381588004)"
"('spray inside', 0.001024017549347023)"
"('others', 0.0010216219033397334)"
"('one bit', 0.0010194784058769955)"
"('inside drum', 0.0010191016324833182)"
"('easy drop', 0.0010167978126564773)"
"('tabs get stuck', 0.00101666065110103)"
"('hands getting inside', 0.0010150277900314566)"
"('kitchen trash gets', 0.0010114360291121345)"
"('babies need', 0.00101135133362179)"
"('get poop', 0.001008579447464514)"
"('change', 0.0010057792438240812)"
"('air inside', 0.0010053186122443982)"
"('stench inside', 0.000998265566879327)"
"('use cost', 0.000995428937133873)"
"('go buy something', 0.000993517937493463)"
"('easy design', 0.0009914349561894208)"
"('one gets stuck', 0.000990220904602842)"
"('plunger gets stuck', 0.0009896869693637224)"
"('reading online reviews', 0.0009876991549730818)"
"('everyone', 0.0009865147713709024)"
"('kids get', 0.0009847127758264222)"
"('cheap people', 0.0009846321373744422)"
"('smells within minutes', 0.0009803850445476228)"
"('one toddler', 0.0009800975779546243)"
"('one flip', 0.000979469569469649)"
"('easy one', 0.0009789296343433636)"
"('work fine', 0.0009789171763396616)"
"('wipes', 0.0009713560329920054)"
"('garbage', 0.0009699531816006265)"
"('home mom', 0.0009697175093852901)"
"('empty', 0.000965238263835537)"
"('stinky poopy smells', 0.0009627427621118636)"
"('well', 0.0009625998030611813)"
"('anything like loose wipes getting stuck', 0.0009593717193831949)"
"('unit need', 0.0009584426855135575)"
"('stink worse', 0.0009583087874730131)"
"('nothing helps', 0.0009570193720028568)"
"('gift', 0.0009566967420160989)"
"('reason others', 0.0009525805667119672)"
"('place', 0.000951091055482215)"
"('contents inside', 0.0009498534861411788)"
"('seal', 0.0009489954385018333)"
"('plus system', 0.0009460230486720541)"
"('cost', 0.000942473351492137)"
"('stink control', 0.0009411859196476662)"
"('idea', 0.0009401263606744193)"
"('empty twice', 0.0009398017861791848)"
"('still get stuck', 0.0009345622224412727)"
"('inside instead', 0.0009335941453273762)"
"('latch', 0.0009316709251866359)"
"('bit helps', 0.0009279876388561174)"
"('outside trash bin', 0.0009279251969583403)"
