"('diaper', 0.019511903381941646)"
"('much poop goes', 0.0010608025128176371)"
"('husband said', 0.0010605190611263928)"
"('kitchen', 0.0010589364172772285)"
"('taking less', 0.0010501560646443077)"
"('started eating solids', 0.0010469540469738878)"
"('kids', 0.0010359455634633653)"
"('look', 0.0010345080975558286)"
"('mess', 0.001031492463680864)"
"('nursery smelling', 0.0010266923757614893)"
"('small hole', 0.0010260230426549252)"
"('convenient', 0.001024112552547711)"
"('pull', 0.0010145730821901444)"
"('several close', 0.00101351717685462)"
"('least twice', 0.0010120560560289186)"
"('wonderful', 0.001006762100070746)"
"('stuff', 0.001003700536923532)"
"('nothing like', 0.0009993707067794705)"
"('dispose', 0.000993533470302844)"
"('solution anyone', 0.0009885797606524372)"
"('year', 0.0009865994864968913)"
"('cloth', 0.0009864449638589219)"
"('husband', 0.000983551537553269)"
"('dump solids', 0.0009802597580080754)"
"('lot', 0.0009735224440471728)"
"('helps control', 0.0009728010336039284)"
"('last complaint', 0.0009707297217226284)"
"('free', 0.0009702699003409775)"
"('toddlers like', 0.0009692562267926892)"
"('much economical', 0.0009670625723745567)"
"('one-handed job', 0.0009648076507653146)"
"('looking', 0.0009642461588005447)"
"('someone', 0.0009598949050875221)"
"('eating solids', 0.0009545913452277995)"
"('scented', 0.0009532275709463622)"
"('believe', 0.0009477453386830742)"
"('latch worked', 0.000941806110727438)"
"('twice', 0.0009371686243862773)"
"('older model', 0.0009300684737266945)"
"('like emptying', 0.0009283337686488474)"
"('say enough', 0.0009272642922807314)"
"('keeping', 0.0009250983367739454)"
"('daughter', 0.0009215603888892065)"
"('believe nothing', 0.0009205323425029807)"
"('stuff needs', 0.0009204028190984029)"
"('come', 0.0009184510000546346)"
"('decided', 0.0009138656937946037)"
"('considering', 0.0009132334418035625)"
"('larger', 0.0009124365104217942)"
"('several', 0.0009059971073073549)"
"('kind', 0.0009028664927739955)"
"('refill cartridges', 0.0009028141806081919)"
"('noticed', 0.000901215160618327)"
"('clorox', 0.0008983140950976346)"
"('big enough', 0.0008934707583227682)"
"('nothing', 0.0008933193463228872)"
"('caught', 0.000891664124645807)"
"('perfect', 0.0008907740439215473)"
"('takes', 0.0008876827885767705)"
"('waste', 0.0008850707287593216)"
"('contained', 0.0008831565293045218)"
"('awkward', 0.0008824776535874769)"
"('month', 0.0008783371652356399)"
"('price', 0.00087301575988454)"
"('air', 0.0008715555472667139)"
"('twins', 0.000867950307114716)"
"('last', 0.0008634527088041768)"
"('husband liked', 0.0008604802302990629)"
"('smelled', 0.0008598107778066785)"
"('bigger', 0.0008569600592347432)"
"('ask someone', 0.000856591453686138)"
"('come home', 0.0008558056866969947)"
"('making', 0.0008554486538625293)"
"('push', 0.0008536882542806331)"
"('friend', 0.0008522819704629319)"
"('seal', 0.0008520662839898504)"
"('dont find', 0.0008493242115344401)"
"('remove', 0.0008480220505163448)"
"('started table food', 0.0008474323539813768)"
"('hassle', 0.0008414027476416211)"
"('bin', 0.0008411338743903791)"
"('figure', 0.0008401903699608213)"
"('figured', 0.0008379592822098191)"
"('needs', 0.0008371051012732738)"
"('toddlers figured', 0.0008355248342795719)"
"('toddlers', 0.0008330903863493246)"
"('longer', 0.0008309498849059117)"
"('tabs', 0.0008299132440883052)"
"('last point', 0.0008262597221623362)"
"('reason', 0.0008239533218320185)"
"('comes', 0.0008211089191875087)"
"('nails', 0.0008053906551820011)"
"('see', 0.0008021475374574504)"
"('goes', 0.0008011679452187861)"
"('control', 0.0007999934178449662)"
"('idea', 0.0007991817462479519)"
"('home', 0.0007931603733393549)"
"('reading', 0.0007918434936717047)"
"('unit', 0.0007909919473988918)"
"('point', 0.0007890667355204955)"
"('play', 0.0007881399074179729)"
"('odorless', 0.0007875776773988303)"
"('overall', 0.0007872245971470497)"
"('add', 0.0007868420918177038)"
"('whole bin', 0.0007867129858902404)"
"('area', 0.000784610113150863)"
"('solution', 0.0007845907739903845)"
"('looks', 0.0007821560626288109)"
"('cut', 0.0007814784742463471)"
"('inexpensive', 0.0007803473382064966)"
"('worked', 0.0007783245619829466)"
"('pails', 0.0007754836089693735)"
"('yes', 0.0007743127633652486)"
"('glad', 0.000771552444349189)"
"('space', 0.0007696830574725649)"
"('chute', 0.0007655673707640289)"
"('read', 0.0007649124633325276)"
"('mean come', 0.0007597220477923599)"
"('leave', 0.0007578138239137248)"
"('sitting', 0.0007556240728305579)"
"('larger size', 0.0007543836956515769)"
"('ask', 0.000753288002284754)"
"('mine', 0.0007529431720339392)"
"('emptying', 0.000751245470061641)"
"('tight space', 0.000750287019200042)"
"('taking', 0.0007443833564279865)"
"('hard', 0.0007441500000653544)"
"('plunger', 0.0007425617923534948)"
"('couple', 0.0007408463717212989)"
"('boy', 0.0007378127915366343)"
"('small', 0.0007377159330880421)"
"('liked', 0.0007374089230448565)"
"('matter', 0.000736102595993552)"
"('made', 0.0007347210798437141)"
"('live', 0.0007334107618584061)"
"('tape', 0.0007325378635633585)"
"('whole', 0.0007322920973901017)"
"('tight', 0.0007308909809275191)"
"('went', 0.0007304466640548843)"
"('star', 0.0007296472911023772)"
"('tried', 0.0007283057391958057)"
"('eliminate', 0.0007282115778501786)"
"('disposing', 0.0007196285833434526)"
"('parents', 0.0007178147198269851)"
"('ended', 0.0007177549403048146)"
"('happy', 0.0007177521914400746)"
"('dump', 0.0007157052100753174)"
"('tried wiping', 0.0007156043672777665)"
"('home mom', 0.0007104026423215538)"
"('working', 0.000709978659627932)"
"('imagine', 0.0007089226004511399)"
"('holding', 0.0007076598800802735)"
"('changes', 0.0007069364717893243)"
"('operate', 0.0007059545806588777)"
"('understand', 0.0007044029397010295)"
"('wiping', 0.0007029029953597272)"
"('help cut', 0.0007020437956779097)"
"('looks nice', 0.0006931684049009299)"
"('gave', 0.000692934206433461)"
"('broken nails', 0.000691335671715408)"
"('please', 0.0006890945350191698)"
"('soda', 0.000688865232154771)"
"('require', 0.000685421384333401)"
"('purpose', 0.0006849433299282192)"
"('worry', 0.0006842771194489967)"
"('infant', 0.0006836560461244631)"
"('start', 0.0006796280436386182)"
"('fit', 0.0006759097581833173)"
"('help eliminate', 0.0006754103474798255)"
"('model', 0.0006733452341697221)"
"('genies', 0.0006706300755920378)"
"('eating', 0.0006643683845147659)"
"('registered', 0.0006630486858440024)"
"('economical', 0.0006622240490841393)"
"('set', 0.0006608556609560472)"
"('blue', 0.000660422778253895)"
"('enough', 0.0006545899771274861)"
"('toilet', 0.0006526410806320256)"
"('cheap', 0.000651209830501707)"
"('toys', 0.0006502973231127016)"
"('smelling', 0.0006501209511424221)"
"('closed', 0.0006478398495449087)"
"('pain', 0.0006475283832529832)"
"('course', 0.0006467894932372444)"
"('maintain', 0.0006467503043178693)"
"('mind', 0.0006438938926458951)"
"('deal', 0.0006437886579850688)"
"('everytime', 0.0006428608792498561)"
"('bedroom', 0.000642335382211236)"
"('replace', 0.0006404397916112027)"
"('positive', 0.0006391075823117833)"
"('one-handed', 0.0006368201113813043)"
"('going', 0.0006345104698838068)"
"('needed', 0.0006335139500800098)"
"('wrong', 0.0006328329072860897)"
"('done', 0.0006321014247602753)"
"('careful', 0.0006317449828804277)"
"('shower', 0.0006292483874520285)"
"('mom', 0.0006276449113037526)"
"('cover', 0.0006275776918876866)"
"('help', 0.0006226091171094724)"
"('including', 0.0006178580057126387)"
"('saw', 0.000617097986344573)"
"('beginning', 0.0006162223675322343)"
"('forth', 0.0006147285775531241)"
"('dont mind', 0.0006113250653236497)"
"('disposable toilet', 0.0006074323915834215)"
"('emptied', 0.0006051400457991038)"
"('nice', 0.0006041807471730489)"
"('years', 0.0006028244160885395)"
"('mean', 0.0006009930955300851)"
"('gallon', 0.0006000175768011203)"
"('gone', 0.0005983253494298795)"
"('size', 0.0005963308808813596)"
"('sorry', 0.0005959231457137463)"
"('messy', 0.0005943244887188247)"
"('done flipping', 0.0005939909440072044)"
"('starting', 0.0005895287271252323)"
"('everyone', 0.0005887925500088441)"
"('required', 0.0005865013130633354)"
"('putting', 0.0005860325549101456)"
"('hours', 0.0005858987725085926)"
"('expect', 0.0005850575190573799)"
"('chance', 0.0005832469201732999)"
"('advice', 0.0005811874711205475)"
"('night', 0.0005789890882334126)"
"('food', 0.000578275922392834)"
"('interested', 0.0005775175202454044)"
"('broken', 0.0005772806882488148)"
"('piston', 0.0005771895297437442)"
"('biggest', 0.0005762873038665631)"
"('device', 0.0005759728448191788)"
"('toss', 0.0005757993577240046)"
"('amp', 0.0005742236761347205)"
"('finger', 0.0005736752040356927)"
"('added', 0.0005701423163544421)"
"('cartridges', 0.0005684864034205503)"
"('disappointed', 0.0005673015957545389)"
"('foam', 0.0005671318963388366)"
"('plan', 0.0005664760615234844)"
"('nose', 0.0005644240669931947)"
"('loud', 0.0005636746992822475)"
"('poo', 0.0005623763123911486)"
"('disposable', 0.0005622237025348174)"
"('wants', 0.0005613871949365024)"
"('reeks', 0.0005607592540380566)"
"('flipping', 0.0005558804632541336)"
